,index,0
364,NOVA,CHEV
365,CHEOTH,CHEV
366,CHEVPRIZM,CHEV
367,CHVST,CHEV
368,S10PICKUP,CHEV
369,CHEV150,CHEV
370,CHEVC25,CHEV
371,CH3500PU,CHEV
372,SONIC,CHEV
373,SPARK,CHEV
374,CHEVSPEC,CHEV
375,CHSPRINT,CHEV
376,CHEVSS,CHEV
377,SSR,CHEV
378,CHEVSUB,CHEV
379,TAHOE,CHEV
380,TRACKE,CHEV
381,TRAILBLZ,CHEV
382,TRAILBZEXT,CHEV
383,TRAVERSE,CHEV
384,CHETRAX,CHEV
385,UPLANDER,CHEV
386,VENTUR,CHEV
387,VOLT,CHEV
388,CHRYS200,CHRY
389,300,CHRY
390,CHRY300,CHRY
391,ASPEN,CHRY
392,CIRRUS,CHRY
393,CONC,CHRY
394,CHRYCONQ,CHRY
395,CORDOBA,CHRY
396,CROSSFIRE,CHRY
397,ECLASS,CHRY
398,FIFTH,CHRY
399,CHRYGRANDV,CHRY
400,IMPE,CHRY
401,INTREPID,CHRY
402,CHRYLAS,CHRY
403,LEBA,CHRY
404,CHRYLEBGTS,CHRY
405,LHS,CHRY
406,NY,CHRY
407,NEWPORT,CHRY
408,CHOTH,CHRY
409,PACIFICA,CHRY
410,CHPROWLE,CHRY
411,PTCRUIS,CHRY
412,CHRYSEB,CHRY
413,CHRYTC,CHRY
414,TANDC,CHRY
415,VOYAGER,CHRY
416,400,DODGE
417,DOD600,DODGE
418,ARI,DODGE
419,AVENGR,DODGE
420,B150,DODGE
421,B1500,DODGE
422,B250,DODGE
423,B2500,DODGE
424,B350,DODGE
425,B3500,DODGE
426,CALIBER,DODGE
427,DODCARA,DODGE
428,CHALLENGER,DODGE
429,DODCHAR,DODGE
430,DODCOLT,DODGE
431,DODCONQ,DODGE
432,DODDW,DODGE
433,DAKOTA,DODGE
434,DODDART,DODGE
435,DAY,DODGE
436,DIPLOMA,DODGE
437,DURANG,DODGE
438,DODDYNA,DODGE
439,GRANDCARAV,DODGE
440,INTRE,DODGE
441,JOURNEY,DODGE
442,LANCERDODG,DODGE
443,MAGNUM,DODGE
444,MIRADA,DODGE
445,MONACO,DODGE
446,DODNEON,DODGE
447,NITRO,DODGE
448,OMNI,DODGE
449,DOOTH,DODGE
450,RAIDER,DODGE
451,RAM1504WD,DODGE
452,RAM25002WD,DODGE
453,RAM3502WD,DODGE
454,RAM4500,DODGE
455,DODD50,DODGE
456,RAM5500,DODGE
457,RAMSRT10,DODGE
458,RAMCGR,DODGE
459,RAMPAGE,DODGE
460,DODSHAD,DODGE
461,DODSPIR,DODGE
462,SPRINTER,DODGE
463,SRT4,DODGE
464,STREGIS,DODGE
465,STEAL,DODGE
466,STRATU,DODGE
467,VIPER,DODGE
468,308,FER
469,328,FER
470,348,FER
471,360,FER
472,456GT,FER
473,456MGT,FER
474,458ITALIA,FER
475,FER488GTB,FER
476,FER488PISA,FER
477,FER488SPI,FER
478,512M,FER
479,512TR,FER
480,550M,FER
481,575M,FER
482,599GTB,FER
483,599GTO,FER
484,FERSAPERTA,FER
485,612SCAGLIE,FER
486,FER812GTS,FER
487,FER812SUP,FER
488,FERCALIF,FER
489,ENZO,FER
490,FERF12BERL,FER
491,FERF12TDF,FER
492,F355,FER
493,F40,FER
494,F430,FER
495,F50,FER
496,FERF8SPID,FER
497,FERF8TRIB,FER
498,FERFF,FER
499,FERGTC4LUS,FER
500,FERLAF,FER
501,MOND,FER
502,FEROTH,FER
503,FERPORTO,FER
504,TEST,FER
505,FIAT124SPI,FIAT
506,2000,FIAT
507,FIAT500,FIAT
508,FIAT500L,FIAT
509,FIAT500X,FIAT
510,BERTON,FIAT
511,BRAVA,FIAT
512,FIAOTH,FIAT
513,PININ,FIAT
514,STRADA,FIAT
